Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
CEBPE	0	100	0	100	T
EGR1	0	100	0	100	T
ESR2	100	0	0	0	T
ETS1	0	100	0	100	T
FOS	0	0	100	-100	T
FOXO3	0	100	0	100	T
GATA1	0	0	100	-100	T
IRF4	0	100	0	100	T
KDM5B	0	100	0	100	T
MAFG	0	100	0	100	T
MEF2C	0	0	100	-100	T
NR2F1	0	100	0	100	T
NR5A2	0	100	0	100	T
POU5F1	0	0	100	-100	T
PRDM1	0	0	100	-100	T
RARB	0	0	100	-100	T
RARG	0	0	100	-100	T
RXRA	100	0	0	0	T
SP1	0	0	100	-100	T
SP2	0	0	100	-100	T
SP3	0	0	100	-100	T
SRF	0	100	0	100	T
STAT2	0	100	0	100	T
TERF2	0	100	0	100	T
TFCP2	0	0	100	-100	T
WT1	0	100	0	100	T
ZBTB16	0	0	100	-100	T
CALM3	18	0	82	-82	
CAV1	89	11	0	11	
FKBP4	100	0	0	0	
MDFI	93	6	1	5	
ITPR2	82	18	0	18	
MARCKS	100	0	0	0	
GRM1	90	10	0	10	
STIM1	93	7	0	7	
TRPC1	95	5	0	5	
TRPC3	94	6	0	6	
TRPC4	99	1	0	1	
PKD2	99	1	0	1	
TRPV4	99	1	0	1	
EPOR	100	0	0	0	
HOMER1	97	3	0	3	
ITPR1	100	0	0	0	
ITPR3	100	0	0	0	
ASPH	97	3	0	3	
ORAI1	100	0	0	0	
PRKG1	100	0	0	0	
RNF24	96	4	0	4	
SRC	100	0	0	0	
TRPM4	100	0	0	0	
WNK4	100	0	0	0	
SLC9A3R1	97	3	0	3	
EPB41	95	5	0	5	
FYN	100	0	0	0	
MX1	96	4	0	4	
SNF8	97	3	0	3	
AKAP5	96	4	0	4	
CNR1	97	3	0	3	
CDK5	100	0	0	0	
FAF1	100	0	0	0	
GABARAP	98	2	0	2	
KIF13B	99	1	0	1	
PRKACA	97	0	3	-3	
NTRK1	100	0	0	0	
SLC50A1	99	1	0	1	
EGFR	100	0	0	0	
HCK	100	0	0	0	
LCK	100	0	0	0	
LYN	100	0	0	0	
MAP7	99	1	0	1	
OS9	100	0	0	0	
PACSIN3	100	0	0	0	
YES1	100	0	0	0	
PPIB	100	0	0	0	
KL	100	0	0	0	
PDZD3	100	0	0	0	
NIPSNAP1	100	0	0	0	
NUMB	100	0	0	0	
PTPN1	100	0	0	0	
RAB11A	100	0	0	0	
RGS2	100	0	0	0	
S100A10	100	0	0	0	
EFHC1	100	0	0	0	
PTPN13	100	0	0	0	
RACK1	100	0	0	0	
PHB2	100	0	0	0	
TRPM7	100	0	0	0	
TRPM6	100	0	0	0	
MCOLN2	100	0	0	0	
MCOLN1	100	0	0	0	
MCOLN3	100	0	0	0	
PRKCSH	99	0	1	-1	
KIF3A	100	0	0	0	
PKD1	100	0	0	0	
STX5	100	0	0	0	
PKD1L3	100	0	0	0	
TNNI1	100	0	0	0	
TNNI3	100	0	0	0	
CASP3	100	0	0	0	
