"Gencode Id","Gene Symbol","Nominal P-Value","Empirical P-Value","Q-Value","aFC","Tissue"
"ENSG00000227232.5","WASH7P","1.87224e-7","0.000212786","0.000311193","0.697958","Heart - Left Ventricle"
"ENSG00000186092.4","OR4F5","0.0000404856","0.0270163","0.0250127","0.932644","Heart - Left Ventricle"
"ENSG00000228463.9","AP006222.2","9.72458e-12","4.905e-8","1.14304e-7","-6.643856","Heart - Left Ventricle"
"ENSG00000278566.1","OR4F29","0.0000382863","0.0459022","0.0391162","-6.643856","Heart - Left Ventricle"
"ENSG00000225972.1","MTND1P23","4.37912e-7","0.000957173","0.00125081","6.573421","Heart - Left Ventricle"
"ENSG00000237973.1","MTCO1P12","0.0000318524","0.0518719","0.0432682","2.568195","Heart - Left Ventricle"
"ENSG00000240409.1","MTATP8P1","0.00000873995","0.0161067","0.0160076","2.283725","Heart - Left Ventricle"
"ENSG00000198744.5","MTCO3P12","8.44706e-7","0.00177216","0.00220789","5.112296","Heart - Left Ventricle"
"ENSG00000228327.3","RP11-206L10.2","3.44863e-9","0.000011188","0.0000196052","0.800105","Heart - Left Ventricle"
"ENSG00000237491.8","RP11-206L10.9","2.20664e-16","2.71388e-12","9.83126e-12","1.026627","Heart - Left Ventricle"
"ENSG00000230092.7","RP11-206L10.8","0.0000170209","0.0328646","0.0295341","-0.493386","Heart - Left Ventricle"
"ENSG00000228794.8","LINC01128","7.15717e-8","0.000224161","0.000326605","0.213258","Heart - Left Ventricle"
"ENSG00000225880.5","LINC00115","4.46552e-14","3.96658e-10","1.17117e-9","-0.851708","Heart - Left Ventricle"
"ENSG00000188976.10","NOC2L","2.01729e-7","0.000571928","0.000777442","-0.150244","Heart - Left Ventricle"
"ENSG00000187961.13","KLHL17","1.3611e-7","0.000395478","0.000550332","0.182909","Heart - Left Ventricle"
"ENSG00000187642.9","PERM1","5.11531e-14","5.55734e-10","1.6122e-9","0.436875","Heart - Left Ventricle"
"ENSG00000272512.1","RP11-54O7.17","0.0000104187","0.0225072","0.0213833","0.971954","Heart - Left Ventricle"
"ENSG00000188157.14","AGRN","2.63408e-17","4.21692e-13","1.6419e-12","-0.312286","Heart - Left Ventricle"
"ENSG00000217801.9","RP11-465B22.3","0.00001758","0.0417153","0.0361039","-2.3409","Heart - Left Ventricle"
"ENSG00000131591.17","C1orf159","5.02186e-11","3.0305e-7","6.50305e-7","0.177477","Heart - Left Ventricle"
